"","Time","A1","M1","F1","A2","M2","F2","C","Phase","Type","Cycle"
"1",0,1,1e+07,0,0,0,1e+07,1e+09,"conj","start",1
"501",5,4.19136235701678,68635300.2910059,0,0.00525796908394441,126.761237446165,56350146.1754138,895014423.575722,"conj","end",1
"11",5,0,0,0,0.0026289845419722,63.3806187230827,0,1e+09,"tselect","start",1
"2",77,0,0,0,20.7396136431403,9999979.26038636,0,1e+09,"tselect","end",1
"12",77,0,0,1e+07,20.7396136431403,9999979.26038636,0,1e+09,"conj","start",2
"5011",82,0.109048247310433,126.760974516611,56350146.0796557,86.9272359483595,68635157.9710206,0,895014482.152066,"conj","end",2
"111",82,0.0545241236552165,63.3804872583053,0,0,0,0,1e+09,"tselect","start",2
"21",154,430.114857506908,9999569.88514249,0,0,0,0,1e+09,"tselect","end",2
"13",154,430.114857506908,9999569.88514249,0,0,0,1e+07,1e+09,"conj","start",3
"5012",159,1802.76723320574,68632348.7094228,0,2.26153060238189,126.755784330672,56350144.0479992,895015575.458029,"conj","end",3
"112",159,0,0,0,1.13076530119094,63.377892165336,0,1e+09,"tselect","start",3
"22",231,0,0,0,8912.86714106856,9991087.13285893,0,1e+09,"tselect","end",3
"14",231,0,0,1e+07,8912.86714106856,9991087.13285893,0,1e+09,"conj","start",4
"5013",236,46.8635707916138,126.648237383313,56350101.9482543,37357.0602180236,68574137.3859464,0,895038230.093774,"conj","end",4
"113",236,23.4317853958069,63.3241186916567,0,0,0,0,1e+09,"tselect","start",4
"23",308,181653.83508786,9818346.16491214,0,0,0,0,1e+09,"tselect","end",4
"15",308,181653.83508786,9818346.16491214,0,0,0,1e+07,1e+09,"conj","start",5
"5014",313,761378.869085731,67388730.478256,0,955.126471382865,124.458180771859,56349244.5961231,895499566.471883,"conj","end",5
"114",313,0,0,0,477.563235691433,62.2290903859293,0,1e+09,"tselect","start",5
"24",385,0,0,0,2773072.09122066,7226927.90877934,0,1e+09,"tselect","end",5
"16",385,0,0,1e+07,2773072.09122066,7226927.90877934,0,1e+09,"conj","start",6
"5015",390,14579.8414697564,91.6050084959024,56336373.2953601,11623372.9665661,49604661.9682208,0,902420920.323374,"conj","end",6
"115",390,7289.92073487821,45.8025042479512,0,0,0,0,1e+09,"tselect","start",6
"25",462,8883678.59809524,1116321.40190476,0,0,0,0,1e+09,"tselect","end",6
"17",462,8883678.59809524,1116321.40190476,0,0,0,1e+07,1e+09,"conj","start",7
"5016",467,37239015.0199725,7663093.96162244,0,46700.8848546838,14.1483937226365,56305953.4203108,918745222.564847,"conj","end",7
"116",467,0,0,0,23350.4424273419,7.07419686131823,0,1e+09,"tselect","start",7
"26",539,0,0,0,9939773.37787004,60226.6221299577,0,1e+09,"tselect","end",7
