"","Time","A1","M1","F1","A2","M2","F2","C","Cycle","Phase","Type"
"1",0,5,1e+07,0,0,0,0,1e+09,0,"growout","start"
"2",0,5,1e+07,0,0,0,0,1e+09,0,"growout","end"
"13",0,5,1e+07,0,0,0,1e+07,1e+09,1,"immigration","start"
"2401",24,107.23678082755,616019146.794388,0,1.14968707289848,9671.86349782093,403971077.955646,4.86325318224835e-269,1,"immigration","end"
"11",24,1.0723678082755,6160191.46794388,0,0,96.7186349782093,0,1e+09,1,"selection","start"
"24011",48,47.5075381611547,1006144444.69091,0,0,15797.0604952469,0,2.15274070175666e-224,1,"selection","end"
"12",48,0.475075381611547,10061444.4469091,0,0,157.970604952469,0,1e+09,1,"growth","start"
"24012",72,14.6527685378873,1010045729.92685,0,0,15858.3129716746,0,4.88236218105885e-253,1,"growth","end"
"14",72,0.146527685378873,10100457.2992685,0,0,158.583129716746,1e+07,1e+09,2,"immigration","start"
"24013",96,3.12814650258539,618355681.369043,0,0.0333447416318115,19361.9126869473,401725569.585707,1.69766649752571e-269,2,"immigration","end"
"111",96,0,6183556.81369043,0,0,193.619126869473,0,1e+09,2,"selection","start"
"240111",120,0,1006152245.85944,0,0,31504.573372683,0,1.2995032499306e-224,2,"selection","end"
"121",120,0,10061522.4585944,0,0,315.04573372683,0,1e+09,2,"growth","start"
"240121",144,0,1010030211.50435,0,0,31625.9999795403,0,4.86681689824418e-253,2,"growth","end"
"15",144,0,10100302.1150435,0,0,316.259999795403,1e+07,1e+09,3,"immigration","start"
"24014",168,0,618346087.969796,0,0,29014.976115296,401725515.42913,1.69762224026962e-269,3,"immigration","end"
"112",168,0,6183460.87969796,0,0,290.14976115296,0,1e+09,3,"selection","start"
"240112",192,0,1006136539.55965,0,0,47211.4698095667,0,1.29948659927539e-224,3,"selection","end"
"122",192,0,10061365.3955965,0,0,472.114698095667,0,1e+09,3,"growth","start"
"240122",216,0,1010014444.07555,0,0,47393.4347465095,0,4.86681650322208e-253,3,"growth","end"
"16",216,0,10100144.4407555,0,0,473.934347465095,1e+07,1e+09,4,"immigration","start"
"24015",240,0,618336435.060312,0,0,38667.8869830159,401725515.427808,1.69762223921274e-269,4,"immigration","end"
"113",240,0,6183364.35060312,0,0,386.678869830159,0,1e+09,4,"selection","start"
"240113",264,0,1006120832.90844,0,0,62918.121029641,0,1.29948659898681e-224,4,"selection","end"
"123",264,0,10061208.3290844,0,0,629.181210296411,0,1e+09,4,"growth","start"
"240123",288,0,1009998676.88693,0,0,63160.6233701076,0,4.86681650418375e-253,4,"growth","end"
"17",288,0,10099986.7688693,0,0,631.606233701076,1e+07,1e+09,5,"immigration","start"
"24016",312,0,618326782.300137,0,0,48320.6471604833,401725515.427806,1.69762223954048e-269,5,"immigration","end"
"114",312,0,6183267.82300137,0,0,483.206471604833,0,1e+09,5,"selection","start"
"240114",336,0,1006105126.50242,0,0,78624.5270554667,0,1.29948659914436e-224,5,"selection","end"
"124",336,0,10061051.2650242,0,0,786.245270554667,0,1e+09,5,"growth","start"
"240124",360,0,1009982909.94444,0,0,78927.5658544167,0,4.86681650417768e-253,5,"growth","end"
"18",360,0,10099829.0994444,0,0,789.275658544167,1e+07,1e+09,6,"immigration","start"
"24017",384,0,618317129.690646,0,0,57973.2566501147,401725515.427806,1.69762223954152e-269,6,"immigration","end"
"115",384,0,6183171.29690646,0,0,579.732566501147,0,1e+09,6,"selection","start"
"240115",408,0,1006089420.34158,0,0,94330.6878908713,0,1.29948659914353e-224,6,"selection","end"
"125",408,0,10060894.2034158,0,0,943.306878908713,0,1e+09,6,"growth","start"
"240125",432,0,1009967143.24809,0,0,94694.2622032795,0,4.86681650418578e-253,6,"growth","end"
"19",432,0,10099671.4324809,0,0,946.942622032795,1e+07,1e+09,7,"immigration","start"
"24018",456,0,618307477.231843,0,0,67625.7154542634,401725515.427807,1.69762223953997e-269,7,"immigration","end"
"116",456,0,6183074.77231843,0,0,676.257154542634,0,1e+09,7,"selection","start"
"240116",480,0,1006073714.42593,0,0,110036.603539683,0,1.29948659914356e-224,7,"selection","end"
"126",480,0,10060737.1442593,0,0,1100.36603539683,0,1e+09,7,"growth","start"
"240126",504,0,1009951376.79788,0,0,110460.712420538,0,4.86681650417633e-253,7,"growth","end"
"110",504,0,10099513.7679788,0,0,1104.60712420538,1e+07,1e+09,8,"immigration","start"
"24019",528,0,618297824.923722,0,0,77278.0235752806,401725515.427806,1.69762223965812e-269,8,"immigration","end"
"117",528,0,6182978.24923722,0,0,772.780235752806,0,1e+09,8,"selection","start"
"240117",552,0,1006058008.75547,0,0,125742.274005729,0,1.29948659927042e-224,8,"selection","end"
"127",552,0,10060580.0875547,0,0,1257.42274005729,0,1e+09,8,"growth","start"
"240127",576,0,1009935610.59379,0,0,126226.916510034,0,4.86681650466825e-253,8,"growth","end"
"118",576,0,10099356.1059379,0,0,1262.26916510034,1e+07,1e+09,9,"immigration","start"
"240110",600,0,618288172.766282,0,0,86930.1810155194,401725515.427806,1.69762223970532e-269,9,"immigration","end"
"119",600,0,6182881.72766282,0,0,869.301810155193,0,1e+09,9,"selection","start"
"240118",624,0,1006042303.33018,0,0,141447.699292837,0,1.29948659927109e-224,9,"selection","end"
"128",624,0,10060423.0333018,0,0,1414.47699292837,0,1e+09,9,"growth","start"
"240128",648,0,1009919844.63582,0,0,141992.874475611,0,4.8668165046662e-253,9,"growth","end"
"120",648,0,10099198.4463582,0,0,1419.92874475611,1e+07,1e+09,10,"immigration","start"
"240119",672,0,618278520.759518,0,0,96582.1877773321,401725515.427806,1.69762223970718e-269,10,"immigration","end"
"1110",672,0,6182785.20759518,0,0,965.821877773321,0,1e+09,10,"selection","start"
"2401110",696,0,1006026598.15007,0,0,157152.879404836,0,1.29948659927042e-224,10,"selection","end"
"129",696,0,10060265.9815007,0,0,1571.52879404836,0,1e+09,10,"growth","start"
"240129",720,0,1009904078.92398,0,0,157758.586321111,0,4.86681650466686e-253,10,"growth","end"
