Cycle,Phase,Time,Genotype,Frequency
1,conj,0,Ancestor,0.009900990099009901
1,conj,0,Mutant,0.9900990099009901
1,conj,5,Ancestor,0.35162051530128785
1,conj,5,Mutant,0.6483794846987122
1,tselect,5,Ancestor,0.35162051530128907
1,tselect,5,Mutant,0.648379484698711
1,tselect,77,Ancestor,0.06368630121912339
1,tselect,77,Mutant,0.9363136987808766
2,conj,77,Ancestor,0.06368630121912339
2,conj,77,Mutant,0.9363136987808766
2,conj,82,Ancestor,0.7867117942233389
2,conj,82,Mutant,0.21328820577666105
2,tselect,82,Ancestor,0.7867117942233395
2,tselect,82,Mutant,0.2132882057766604
2,tselect,154,Ancestor,0.316297468590872
2,tselect,154,Mutant,0.683702531409128
3,conj,154,Ancestor,0.316297468590872
3,conj,154,Mutant,0.683702531409128
3,conj,159,Ancestor,0.9616610762190119
3,conj,159,Mutant,0.038338923780988014
3,tselect,159,Ancestor,0.9616610762190119
3,tselect,159,Mutant,0.03833892378098809
3,tselect,231,Ancestor,0.758804976940744
3,tselect,231,Mutant,0.241195023059256
4,conj,231,Ancestor,0.758804976940744
4,conj,231,Mutant,0.241195023059256
4,conj,236,Ancestor,0.9941701440467747
4,conj,236,Mutant,0.005829855953225313
4,tselect,236,Ancestor,0.9941701440467747
4,tselect,236,Mutant,0.005829855953225325
4,tselect,308,Ancestor,0.955334435046321
4,tselect,308,Mutant,0.044665564953679106
5,conj,308,Ancestor,0.955334435046321
5,conj,308,Mutant,0.044665564953679106
5,conj,313,Ancestor,0.9991381177531673
5,conj,313,Mutant,8.618822468326702e-4
5,tselect,313,Ancestor,0.9991381177531673
5,tselect,313,Mutant,8.61882246832667e-4
5,tselect,385,Ancestor,0.9931692879111049
5,tselect,385,Mutant,0.00683071208889501
6,conj,385,Ancestor,0.9931692879111049
6,conj,385,Mutant,0.00683071208889501
6,conj,390,Ancestor,0.9998731176477169
6,conj,390,Mutant,1.2688235228313968e-4
6,tselect,390,Ancestor,0.9998731176477169
6,tselect,390,Mutant,1.2688235228313963e-4
6,tselect,462,Ancestor,0.9989892646797571
6,tselect,462,Mutant,0.0010107353202428201
7,conj,462,Ancestor,0.9989892646797571
7,conj,462,Mutant,0.0010107353202428201
7,conj,467,Ancestor,0.9999813326159016
7,conj,467,Mutant,1.8667384098407068e-5
7,tselect,467,Ancestor,0.9999813326159016
7,tselect,467,Mutant,1.8667384098407e-5
7,tselect,539,Ancestor,0.9998511848219571
7,tselect,539,Mutant,1.488151780429e-4
8,conj,539,Ancestor,0.9998511848219571
8,conj,539,Mutant,1.488151780429e-4
8,conj,544,Ancestor,0.9999972538401396
8,conj,544,Mutant,2.7461598603006515e-6
8,tselect,544,Ancestor,0.9999972538401396
8,tselect,544,Mutant,2.746159860300662e-6
8,tselect,616,Ancestor,0.9999781053609126
8,tselect,616,Mutant,2.1894639087419088e-5
9,conj,616,Ancestor,0.9999781053609126
9,conj,616,Mutant,2.1894639087419088e-5
9,conj,621,Ancestor,0.999999596017737
9,conj,621,Mutant,4.0398226298245053e-7
9,tselect,621,Ancestor,0.999999596017737
9,tselect,621,Mutant,4.039822629824489e-7
9,tselect,693,Ancestor,0.999996779069409
9,tselect,693,Mutant,3.22093059109527e-6
